stsenaarium_sundimus,stsenaarium_ranne,stsenaarium,aasta,prognoositud_synnid,prognoositud_surmad,loomulik_iive,randesaldo,tfr,rahvaarv_kokku,naised_15_49,vanus_1,vanus_2,vanus_3,vanus_4,vanus_5,vanus_6,lasteaiaealised_1_6,vajalikud_kohad_kokku,olemasolevad_kohad_kokku,puudu_voi_ule_kokku,uusi_kohti_vaja_kokku,vajalikud_kohad_1_5_3_ligikaudne,olemasolevad_kohad_1_5_3,puudu_voi_ule_1_5_3,uusi_kohti_vaja_1_5_3
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2026,33.74,160.0,-126.26,0.0,1.175,5710.74,1172.79,40.96,52.1,38.32,61.94,58.94,74.7,326.95,273.37,204,69.37,70,47.27,84,-36.73,0
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2027,32.83,158.08,-125.25,0.0,1.194,5585.49,1147.77,33.7,40.26,51.19,38.28,61.88,58.7,284.01,239.66,204,35.66,36,36.94,84,-47.06,0
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2028,31.77,155.53,-123.76,0.0,1.2129,5461.73,1112.41,32.8,33.13,39.56,51.14,38.24,61.62,256.49,215.46,204,11.46,12,31.41,84,-52.59,0
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2029,30.95,154.43,-123.47,0.0,1.2319,5338.26,1091.22,31.74,32.24,32.55,39.52,51.09,38.08,225.22,186.28,204,-17.72,0,30.53,84,-53.47,0
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2030,30.59,155.11,-124.51,0.0,1.2508,5213.75,1064.18,30.92,31.2,31.68,32.52,39.48,50.88,216.68,178.87,204,-25.13,0,29.59,84,-54.41,0
stat_amet,randega,stat_amet_randega,2026,33.74,160.0,-126.26,0.0,1.175,5710.74,1172.79,40.96,52.1,38.32,61.94,58.94,74.7,326.95,273.37,204,69.37,70,47.27,84,-36.73,0
stat_amet,randega,stat_amet_randega,2027,32.83,158.08,-125.25,0.0,1.194,5585.49,1147.77,33.7,40.26,51.19,38.28,61.88,58.7,284.01,239.66,204,35.66,36,36.94,84,-47.06,0
stat_amet,randega,stat_amet_randega,2028,31.77,155.53,-123.76,0.0,1.2129,5461.73,1112.41,32.8,33.13,39.56,51.14,38.24,61.62,256.49,215.46,204,11.46,12,31.41,84,-52.59,0
stat_amet,randega,stat_amet_randega,2029,30.95,154.43,-123.47,0.0,1.2319,5338.26,1091.22,31.74,32.24,32.55,39.52,51.09,38.08,225.22,186.28,204,-17.72,0,30.53,84,-53.47,0
stat_amet,randega,stat_amet_randega,2030,30.59,155.11,-124.51,0.0,1.2508,5213.75,1064.18,30.92,31.2,31.68,32.52,39.48,50.88,216.68,178.87,204,-25.13,0,29.59,84,-54.41,0
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2026,33.74,160.0,-126.26,0.0,1.175,5710.74,1172.79,40.96,52.1,38.32,61.94,58.94,74.7,326.95,273.37,204,69.37,70,47.27,84,-36.73,0
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2027,32.31,158.08,-125.77,0.0,1.175,5584.97,1147.77,33.7,40.26,51.19,38.28,61.88,58.7,284.01,239.66,204,35.66,36,36.94,84,-47.06,0
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2028,30.78,155.53,-124.75,0.0,1.175,5460.22,1112.41,32.28,33.13,39.56,51.14,38.24,61.62,255.97,215.36,204,11.36,12,31.31,84,-52.69,0
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2029,29.52,154.42,-124.89,0.0,1.175,5335.33,1091.22,30.75,31.73,32.55,39.52,51.09,38.08,223.72,185.7,204,-18.3,0,29.95,84,-54.05,0
praegune_tase,ilma_randeta,praegune_tase_ilma_randeta,2030,28.74,155.08,-126.34,0.0,1.175,5208.99,1064.18,29.49,30.23,31.17,32.52,39.48,50.88,213.77,177.37,204,-26.63,0,28.57,84,-55.43,0
praegune_tase,randega,praegune_tase_randega,2026,33.74,160.0,-126.26,0.0,1.175,5710.74,1172.79,40.96,52.1,38.32,61.94,58.94,74.7,326.95,273.37,204,69.37,70,47.27,84,-36.73,0
praegune_tase,randega,praegune_tase_randega,2027,32.31,158.08,-125.77,0.0,1.175,5584.97,1147.77,33.7,40.26,51.19,38.28,61.88,58.7,284.01,239.66,204,35.66,36,36.94,84,-47.06,0
praegune_tase,randega,praegune_tase_randega,2028,30.78,155.53,-124.75,0.0,1.175,5460.22,1112.41,32.28,33.13,39.56,51.14,38.24,61.62,255.97,215.36,204,11.36,12,31.31,84,-52.69,0
praegune_tase,randega,praegune_tase_randega,2029,29.52,154.42,-124.89,0.0,1.175,5335.33,1091.22,30.75,31.73,32.55,39.52,51.09,38.08,223.72,185.7,204,-18.3,0,29.95,84,-54.05,0
praegune_tase,randega,praegune_tase_randega,2030,28.74,155.08,-126.34,0.0,1.175,5208.99,1064.18,29.49,30.23,31.17,32.52,39.48,50.88,213.77,177.37,204,-26.63,0,28.57,84,-55.43,0
langev,ilma_randeta,langev_ilma_randeta,2026,33.74,160.0,-126.26,0.0,1.175,5710.74,1172.79,40.96,52.1,38.32,61.94,58.94,74.7,326.95,273.37,204,69.37,70,47.27,84,-36.73,0
langev,ilma_randeta,langev_ilma_randeta,2027,31.85,158.08,-126.23,0.0,1.1583,5584.51,1147.77,33.7,40.26,51.19,38.28,61.88,58.7,284.01,239.66,204,35.66,36,36.94,84,-47.06,0
langev,ilma_randeta,langev_ilma_randeta,2028,29.91,155.53,-125.62,0.0,1.1417,5458.89,1112.41,31.82,33.13,39.56,51.14,38.24,61.62,255.51,215.26,204,11.26,12,31.21,84,-52.79,0
langev,ilma_randeta,langev_ilma_randeta,2029,28.27,154.41,-126.14,0.0,1.125,5332.75,1091.22,29.88,31.28,32.55,39.52,51.09,38.08,222.4,185.19,204,-18.81,0,29.44,84,-54.56,0
langev,ilma_randeta,langev_ilma_randeta,2030,27.11,155.05,-127.95,0.0,1.1083,5204.8,1064.18,28.24,29.37,30.73,32.52,39.48,50.88,211.22,176.06,204,-27.94,0,27.67,84,-56.33,0
langev,randega,langev_randega,2026,33.74,160.0,-126.26,0.0,1.175,5710.74,1172.79,40.96,52.1,38.32,61.94,58.94,74.7,326.95,273.37,204,69.37,70,47.27,84,-36.73,0
langev,randega,langev_randega,2027,31.85,158.08,-126.23,0.0,1.1583,5584.51,1147.77,33.7,40.26,51.19,38.28,61.88,58.7,284.01,239.66,204,35.66,36,36.94,84,-47.06,0
langev,randega,langev_randega,2028,29.91,155.53,-125.62,0.0,1.1417,5458.89,1112.41,31.82,33.13,39.56,51.14,38.24,61.62,255.51,215.26,204,11.26,12,31.21,84,-52.79,0
langev,randega,langev_randega,2029,28.27,154.41,-126.14,0.0,1.125,5332.75,1091.22,29.88,31.28,32.55,39.52,51.09,38.08,222.4,185.19,204,-18.81,0,29.44,84,-54.56,0
langev,randega,langev_randega,2030,27.11,155.05,-127.95,0.0,1.1083,5204.8,1064.18,28.24,29.37,30.73,32.52,39.48,50.88,211.22,176.06,204,-27.94,0,27.67,84,-56.33,0
