aasta,langev_ilma_randeta,langev_randega,praegune_tase_ilma_randeta,praegune_tase_randega,stat_amet_ilma_randeta,stat_amet_randega
2026,5710.74,5710.74,5710.74,5710.74,5710.74,5710.74
2027,5584.51,5584.51,5584.97,5584.97,5585.49,5585.49
2028,5458.89,5458.89,5460.22,5460.22,5461.73,5461.73
2029,5332.75,5332.75,5335.33,5335.33,5338.26,5338.26
2030,5204.8,5204.8,5208.99,5208.99,5213.75,5213.75
2031,5081.91,5081.91,5088.03,5088.03,5094.98,5094.98
2032,4952.41,4952.41,4960.75,4960.75,4970.22,4970.22
2033,4830.37,4830.37,4841.24,4841.24,4853.61,4853.61
2034,4706.5,4706.5,4720.15,4720.15,4735.69,4735.69
2035,4582.75,4582.75,4599.46,4599.46,4618.48,4618.48
