stsenaarium_sundimus,stsenaarium_ranne,stsenaarium,aasta,rahvaarv_eelmine_aasta,rahvaarv_kokku,naised_15_49,prognoositud_synnid,prognoositud_surmad,loomulik_iive,randesaldo,tfr
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2026,5837.0,5710.74,1172.79,33.74,160.0,-126.26,0.0,1.175
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2027,5710.74,5585.49,1147.77,32.83,158.08,-125.25,0.0,1.194
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2028,5585.49,5461.73,1112.41,31.77,155.53,-123.76,0.0,1.2129
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2029,5461.73,5338.26,1091.22,30.95,154.43,-123.47,0.0,1.2319
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2030,5338.26,5213.75,1064.18,30.59,155.11,-124.51,0.0,1.2508
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2031,5213.75,5094.98,1037.23,29.94,148.71,-118.77,0.0,1.2698
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2032,5094.98,4970.22,1003.72,29.29,154.04,-124.75,0.0,1.2888
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2033,4970.22,4853.61,977.08,29.27,145.88,-116.61,0.0,1.3077
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2034,4853.61,4735.69,947.2,28.51,146.43,-117.92,0.0,1.3267
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2035,4735.69,4618.48,920.02,28.35,145.56,-117.21,0.0,1.3456
stat_amet,randega,stat_amet_randega,2026,5837.0,5710.74,1172.79,33.74,160.0,-126.26,0.0,1.175
stat_amet,randega,stat_amet_randega,2027,5710.74,5585.49,1147.77,32.83,158.08,-125.25,0.0,1.194
stat_amet,randega,stat_amet_randega,2028,5585.49,5461.73,1112.41,31.77,155.53,-123.76,0.0,1.2129
stat_amet,randega,stat_amet_randega,2029,5461.73,5338.26,1091.22,30.95,154.43,-123.47,0.0,1.2319
stat_amet,randega,stat_amet_randega,2030,5338.26,5213.75,1064.18,30.59,155.11,-124.51,0.0,1.2508
stat_amet,randega,stat_amet_randega,2031,5213.75,5094.98,1037.23,29.94,148.71,-118.77,0.0,1.2698
stat_amet,randega,stat_amet_randega,2032,5094.98,4970.22,1003.72,29.29,154.04,-124.75,0.0,1.2888
stat_amet,randega,stat_amet_randega,2033,4970.22,4853.61,977.08,29.27,145.88,-116.61,0.0,1.3077
stat_amet,randega,stat_amet_randega,2034,4853.61,4735.69,947.2,28.51,146.43,-117.92,0.0,1.3267
