stsenaarium_sundimus,stsenaarium_ranne,stsenaarium,aasta,eesti_tfr_eeldus,rakvere_kohalik_korrigeerimistegur,prognoositud_synnid,prognoositud_surmad,loomulik_iive,randesaldo,naised_15_49
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2026,1.175,0.938,33.74,160.0,-126.26,0.0,1172.79
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2027,1.194,0.938,32.83,158.08,-125.25,0.0,1147.77
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2028,1.2129,0.938,31.77,155.53,-123.76,0.0,1112.41
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2029,1.2319,0.938,30.95,154.43,-123.47,0.0,1091.22
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2030,1.2508,0.938,30.59,155.11,-124.51,0.0,1064.18
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2031,1.2698,0.938,29.94,148.71,-118.77,0.0,1037.23
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2032,1.2888,0.938,29.29,154.04,-124.75,0.0,1003.72
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2033,1.3077,0.938,29.27,145.88,-116.61,0.0,977.08
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2034,1.3267,0.938,28.51,146.43,-117.92,0.0,947.2
stat_amet,ilma_randeta,stat_amet_ilma_randeta,2035,1.3456,0.938,28.35,145.56,-117.21,0.0,920.02
stat_amet,randega,stat_amet_randega,2026,1.175,0.938,33.74,160.0,-126.26,0.0,1172.79
stat_amet,randega,stat_amet_randega,2027,1.194,0.938,32.83,158.08,-125.25,0.0,1147.77
stat_amet,randega,stat_amet_randega,2028,1.2129,0.938,31.77,155.53,-123.76,0.0,1112.41
stat_amet,randega,stat_amet_randega,2029,1.2319,0.938,30.95,154.43,-123.47,0.0,1091.22
stat_amet,randega,stat_amet_randega,2030,1.2508,0.938,30.59,155.11,-124.51,0.0,1064.18
stat_amet,randega,stat_amet_randega,2031,1.2698,0.938,29.94,148.71,-118.77,0.0,1037.23
stat_amet,randega,stat_amet_randega,2032,1.2888,0.938,29.29,154.04,-124.75,0.0,1003.72
